method,param,param_value,iteration,time,cuts,objectif
MCTS50,C,7,5,0.2168467,0,46.0
MCTS100,C,7,5,0.2698584,0,36.0
MCTS200,C,7,5,0.497543,0,49.0
MCTS500,C,7,5,1.0315148,0,48.0
PL1,C,8,1,0.634298199,0,56.0
PL2,C,8,1,15.312097201,59,60.0
PL3,C,8,1,0.016671099,7,Inf
MCTS10,C,8,1,0.045945799,0,40.0
MCTS20,C,8,1,0.0689749,0,47.0
MCTS50,C,8,1,0.152669801,0,45.0
MCTS100,C,8,1,0.303223,0,48.0
MCTS200,C,8,1,0.6129027,0,43.0
MCTS500,C,8,1,1.3394275,0,39.0
PL1,C,8,2,0.6910992,0,54.0
PL2,C,8,2,15.2693883,78,55.0
