method,param,param_value,iteration,time,cuts,objectif
MCTS0_200,L,10,1,2.377841599,0,20.0
MCTS200,L,10,1,0.6165321,0,26.0
PL1,L,10,2,0.6738084,0,38.0
MCTS0_10,L,10,2,0.0736652,0,14.0
MCTS10,L,10,2,0.0555209,0,31.0
MCTS0_20,L,10,2,0.231358501,0,15.0
MCTS20,L,10,2,0.1000811,0,29.0
MCTS0_50,L,10,2,0.528789801,0,18.0
MCTS50,L,10,2,0.2438,0,29.0
MCTS0_100,L,10,2,1.316488799,0,14.0
MCTS100,L,10,2,0.3471201,0,31.0
MCTS0_200,L,10,2,2.140148299,0,19.0
MCTS200,L,10,2,0.7756393,0,30.0
PL1,L,10,3,8.446730801,0,30.0
MCTS0_10,L,10,3,0.0783376,0,15.0
MCTS10,L,10,3,0.1948701,0,21.0
MCTS0_20,L,10,3,0.159030901,0,14.0
MCTS20,L,10,3,0.1341319,0,23.0
MCTS0_50,L,10,3,0.9722422,0,14.0
MCTS50,L,10,3,0.2895021,0,22.0
MCTS0_100,L,10,3,1.3602307,0,18.0
MCTS100,L,10,3,1.738811501,0,21.0
MCTS0_200,L,10,3,1.9600812,0,16.0
MCTS200,L,10,3,3.070840899,0,21.0
PL1,L,10,4,4.695854099,0,37.0
MCTS0_10,L,10,4,0.0935851,0,8.0
MCTS10,L,10,4,0.0408338,0,29.0
MCTS0_20,L,10,4,0.175600299,0,15.0
MCTS20,L,10,4,0.0700057,0,29.0
MCTS0_50,L,10,4,0.2920355,0,14.0
MCTS50,L,10,4,0.1737619,0,28.0
MCTS0_100,L,10,4,1.0044279,0,16.0
MCTS100,L,10,4,0.3693184,0,29.0
MCTS0_200,L,10,4,1.7493248,0,13.0
MCTS200,L,10,4,0.593733,0,29.0
PL1,L,10,5,0.7495592,0,34.0
MCTS0_10,L,10,5,0.051884699,0,11.0
MCTS10,L,10,5,0.0433995,0,25.0
MCTS0_20,L,10,5,0.221168199,0,15.0
MCTS20,L,10,5,0.0728658,0,24.0
MCTS0_50,L,10,5,0.354060301,0,10.0
MCTS50,L,10,5,0.219440999,0,25.0
MCTS0_100,L,10,5,1.050217301,0,13.0
MCTS100,L,10,5,0.349898001,0,24.0
MCTS0_200,L,10,5,2.332585301,0,14.0
MCTS200,L,10,5,0.5988029,0,24.0
PL1,C,3,1,0.013449099,0,39.0
MCTS0_10,C,3,1,0.0189727,0,22.0
MCTS10,C,3,1,0.011119901,0,32.0
MCTS0_20,C,3,1,0.0309624,0,25.0
MCTS20,C,3,1,0.0181871,0,35.0
MCTS0_50,C,3,1,0.129090799,0,32.0
MCTS50,C,3,1,0.0510722,0,36.0
MCTS0_100,C,3,1,0.1575793,0,31.0
MCTS100,C,3,1,0.0765508,0,36.0
MCTS0_200,C,3,1,0.365721701,0,34.0
MCTS200,C,3,1,0.153384901,0,36.0
PL1,C,3,2,0.0143786,0,38.0
MCTS0_10,C,3,2,0.0173605,0,26.0
MCTS10,C,3,2,0.009277901,0,33.0
MCTS0_20,C,3,2,0.0377094,0,26.0
MCTS20,C,3,2,0.0182168,0,36.0
MCTS0_50,C,3,2,0.089100401,0,27.0
MCTS50,C,3,2,0.0427116,0,36.0
MCTS0_100,C,3,2,0.180847099,0,30.0
MCTS100,C,3,2,0.0776194,0,38.0
MCTS0_200,C,3,2,0.350893701,0,32.0
MCTS200,C,3,2,0.158425501,0,38.0
